#plot tree x y z species d1989 h1989 hCr1989 d1993 h1993 hCr1993
2 553 608149.8 484392 334.5 PCAB 28.24 28.99 20.7 29.19 29.94 21.73
2 56 608195.4 484403.2 335.5 PCAB 34.03 31.82 20.99 35.41 32.58 21.01
2 566 608161.8 484390 333.8 PCAB 25.01 27.68 18.22 25.4 28.88 19.75
2 575 608170.8 484387.4 333.2 PCAB 29.81 30.85 18.6 30.66 31.22 19.25
2 586 608179.8 484383 332.5 PCAB 43.35 32 18.45 45.89 33.47 19.27
2 59 608198.3 484402.1 335.3 PCAB 33.15 31.55 20.29 34.35 32.44 21.54
2 596 608187.5 484382.3 332.2 PCAB 41.48 33.91 20.26 44.31 35.62 22.42
2 601 608193.4 484380.7 331.8 PCAB 37.46 32.79 18.79 39.1 34.56 19.9
2 612 608202.8 484375.9 330.9 PCAB 38.15 31.71 18.38 39.58 33.35 20.28
2 626 608190.8 484378.2 331.4 PCAB 27.85 28.38 18.86 28.68 29.61 19.82
2 637 608183.3 484379 331.8 PCAB 44.91 34.13 20.52 46.77 34.41 22.71
2 647 608174.7 484381.7 332.1 PCAB 35.7 32.03 18.79 37.69 33.88 19.75
2 65 608204.4 484402 335.4 PCAB 24.42 27.07 17.76 24.93 27.23 19.07
2 655 608169.3 484382.7 332.4 PCAB 45.21 33.42 19.92 48.27 33.95 20.05
2 660 608163.8 484386.2 333 PCAB 23.93 29.87 18.76 25.32 31.3 18.89
2 665 608160.5 484385.6 333.2 PCAB 33.73 30.69 18.02 34.16 31.29 20.65
2 668 608157.9 484387.8 333.6 PCAB 29.52 30.1 19.41 30.17 31.15 20.24
2 674 608153.5 484387.7 333.6 PCAB 47.07 31.31 20.25 48.97 32.3 22.28
2 682 608147.6 484389.2 333.8 PCAB 47.27 34.32 21.04 49.18 35.46 21.05
2 691 608146.6 484386.4 333.4 PCAB 30.79 29.39 21.19 31.85 30.64 23.02
2 706 608159.5 484382.5 332.7 PCAB 53.74 34.06 18.3 56.52 35.5 19.45
2 710 608164.3 484382.8 332.5 PCAB 21.97 25.53 19.02 22.16 25.97 19.86
2 718 608171.9 484379 331.8 PCAB 30.11 29.71 19.07 31.65 31.15 19.84
2 722 608175.6 484379.6 332 PCAB 28.05 31.31 20.11 29.18 32.66 21.1
2 731 608183.8 484375.5 331.5 PCAB 27.07 28.86 18.81 28.19 29.77 22.32
2 735 608187.1 484375.9 331.2 PCAB 21.77 26.36 19.21 21.81 27 20.46
2 740 608191.4 484374.5 331 PCAB 33.15 27.94 19.31 33.31 28.93 20.89
2 749 608198.1 484371.2 330.2 PCAB 37.66 30.54 17.19 38.97 32.64 17.63
2 765 608193.5 484371.1 330.3 PCAB 49.03 33.52 19.28 51.68 33.65 20.62
2 770 608187.6 484372.7 330.6 PCAB 38.74 31.28 20.37 41.25 32.94 22.45
2 784 608175.1 484376.5 331.4 PCAB 23.54 26.58 19.5 23.7 28.28 21.56
2 791 608168.8 484376.9 331.4 PCAB 35.7 32.68 19.88 37.98 34.1 20.43
2 799 608157.3 484380.4 332.2 PCAB 31.28 28.83 19.01 31.61 29.85 20.39
2 80 608206.5 484398 334.7 PCAB 37.07 29.33 17.92 39.03 31.57 19.49
2 808 608149.3 484384.4 332.7 PCAB 33.73 31.36 19.48 35.11 32.18 22.36
2 815 608144.4 484384.3 332.7 PCAB 31.48 29.37 20.24 31.66 30.37 22.01
2 822 608146.2 484380.1 331.9 PCAB 39.42 32.93 19.2 40.56 34.87 21.6
2 829 608152.5 484380.1 332.2 PCAB 45.31 33.03 18.45 47.58 34.72 19.57
2 838 608157.8 484377 331.7 PCAB 37.27 34.9 19.21 40.45 37.03 19.83
2 84 608201.6 484398.1 334.7 PCAB 49.62 33.94 20.72 52.52 34.28 20.74
2 841 608161 484377.5 331.6 PCAB 33.73 32.23 19.58 35.71 33.83 20.69
2 844 608164.1 484376.8 331.5 PCAB 37.95 30.48 17.72 39.2 31.75 18.94
2 846 608167 484375.8 331.2 PCAB 34.13 28.7 18.63 35.61 30.07 19.64
2 851 608172.5 484374.1 330.9 PCAB 36.87 32.29 19.22 37.28 33.48 20.32
2 852 608173.3 484372.1 330.7 PCAB 35.99 32.36 18.25 37.78 32.54 19.26
2 854 608176.6 484373.2 330.9 PCAB 25.89 27.7 19.26 26.11 28.5 20.2
2 857 608179.2 484370.4 330.5 PCAB 35.7 32.82 18.71 38.38 33.52 19.52
2 866 608189.2 484367.7 329.7 PCAB 30.3 27.5 19.83 30.63 28.56 21.67
2 868 608192.2 484366.6 329.7 PCAB 44.62 31.51 19.79 45.89 33.12 22.24
2 874 608198.5 484366.5 329.5 PCAB 25.4 25.56 18.69 26.9 27.26 19.96
2 877 608194.6 484364.5 329.2 PCAB 28.64 29.17 19.8 30.27 31.06 21.53
2 883 608181.6 484368.3 330.1 PCAB 25.2 29.61 18.9 25.28 30.8 19.26
2 887 608170.1 484371.5 330.6 PCAB 33.05 29.64 19.66 33.57 30.74 21.14
2 902 608200.8 484368.9 329.8 PCAB 25.3 24.74 17.67 26.08 26.07 19.16
