#tree x y z gew species d2008 h2008 d2013 h2013
98 6.93 14.86 0 1 FASY 5.1 11.2 7.6 13.3
99 9.9 11.8 0 1 FASY 6.7 16.5 15.2 19.7
100 8.92 8.32 0 1 FASY 5.4 13.7 12.2 16.3
101 10.88 5.07 0 0.441176470588235 FASY 5.6 13.2 11 15.7
103 14.75 7.84 0 1 FASY 5.2 13 10.6 15.5
104 13.82 8.64 0 1 FASY 4.8 11.3 7.8 13.5
105 13.08 8.5 0 1 FASY 3.6 13.4 10.3 16
106 13.35 9.35 0 1 FASY 6.7 14 13 16.7
107 13.94 9.76 0 1 FASY 5.1 13.3 11.3 15.9
108 11.95 11.95 0 1 FASY 4.4 12.8 10.2 15.2
109 9.99 16.63 0 1 FASY 5.4 16.6 11.8 19.8
110 3.52 22.22 0 1 FASY 4.8 11.6 8.2 13.8
111 4.27 21.99 0 1 FASY 7.4 10.7 9.8 12.7
112 5.8 23.08 0 1 FASY 3.9 12.2 13.4 14.5
113 12.96 14.97 0 1 FASY 6.1 13.8 13.4 16.4
114 13.77 15.73 0 1 FASY 4 12.2 9.1 14.5
116 13.62 13.67 0 1 FASY 1.4 13.9 17 16.6
117 14.2 14.65 0 1 FASY 8.5 15 13.2 17.9
118 15.19 14.93 0 1 FASY 8.4 10.5 8.8 12.5
119 14.52 12.1 0 1 FASY 6.3 13.8 13.6 16.5
120 16.24 12.02 0 1 FASY 7.1 14.9 11.2 17.8
121 15.8 10.18 0 1 FASY 4.9 13.5 11.8 16.1
122 17.02 8.45 0 1 FASY 2.4 13.4 13.3 16
123 20.33 9.4 0 0.441176470588235 FASY 4.8 12.9 10.5 15.4
124 19.92 10.46 0 1 FASY 4.3 12.2 9 14.5
125 19.21 11.13 0 1 FASY 7.8 14.9 16.6 17.8
126 19.35 12.8 0 1 FASY 5.1 11.7 8.4 14
127 18.93 13.75 0 1 FASY 4.4 12.5 9.6 14.9
128 17.49 13.18 0 1 FASY 2.7 15.9 15.5 18.9
129 17.31 15.15 0 1 FASY 4.9 11.5 8 13.7
130 11.45 23.79 0 1 FASY 7 14.2 13.8 16.9
131 11.54 24.08 0 1 FASY 8.6 14.6 13.5 17.4
132 16.7 19.01 0 1 FASY 5.1 11.2 7.6 13.3
133 16.88 18.04 0 1 FASY 4.7 12.9 10.4 15.4
135 21.03 15.79 0 1 FASY 4.4 12.8 10.2 15.2
136 21 10.33 0 1 FASY 4.3 12.2 9 14.5
137 21.75 11.91 0 1 FASY 6.7 14 13 16.7
138 22.43 12.13 0 1 FASY 5.3 11.9 8.6 14.2
139 22.85 16 0 1 FASY 4.4 12.5 9.6 14.9
140 23.21 17.88 0 1 FASY 9.6 14.3 10.8 17.1
141 21.2 17.98 0 1 FASY 5.3 11.9 7.8 14.2
142 20.82 18.42 0 1 FASY 10.4 12.9 14.6 15.4
143 23.1 19.45 0 0.441176470588235 FASY 8.7 14.2 17.1 16.9
144 21.21 21.36 0 1 FASY 3.2 14.8 17.6 17.7
145 20.85 21.15 0 1 FASY 6.7 15.4 12.4 18.3
146 14.27 25.02 0 1 FASY 5.4 13.7 12.2 16.3
148 10.56 25.5 0 1 FASY 5 13.3 11.2 15.8
149 22.51 10.4 0 0.441176470588235 FASY 4.9 13.6 12 16.2
