#tree x y z gew species d1989 h1989 d1993 h1993
655 608169.3 484382.7 332.4 1 PCAB 45.21 33.42 48.27 33.95
660 608163.8 484386.2 333 1 PCAB 23.93 29.87 25.32 31.3
665 608160.5 484385.6 333.2 1 PCAB 33.73 30.69 34.16 31.29
668 608157.9 484387.8 333.6 1 PCAB 29.52 30.1 30.17 31.15
674 608153.5 484387.7 333.6 1 PCAB 47.07 31.31 48.97 32.3
682 608147.6 484389.2 333.8 1 PCAB 47.27 34.32 49.18 35.46
691 608146.6 484386.4 333.4 1 PCAB 30.79 29.39 31.85 30.64
706 608159.5 484382.5 332.7 1 PCAB 53.74 34.06 56.52 35.5
710 608164.3 484382.8 332.5 1 PCAB 21.97 25.53 22.16 25.97
718 608171.9 484379 331.8 1 PCAB 30.11 29.71 31.65 31.15
722 608175.6 484379.6 332 1 PCAB 28.05 31.31 29.18 32.66
731 608183.8 484375.5 331.5 1 PCAB 27.07 28.86 28.19 29.77
735 608187.1 484375.9 331.2 1 PCAB 21.77 26.36 21.81 27
740 608191.4 484374.5 331 1 PCAB 33.15 27.94 33.31 28.93
749 608198.1 484371.2 330.2 1 PCAB 37.66 30.54 38.97 32.64
765 608193.5 484371.1 330.3 1 PCAB 49.03 33.52 51.68 33.65
770 608187.6 484372.7 330.6 1 PCAB 38.74 31.28 41.25 32.94
784 608175.1 484376.5 331.4 1 PCAB 23.54 26.58 23.7 28.28
791 608168.8 484376.9 331.4 1 PCAB 35.7 32.68 37.98 34.1
799 608157.3 484380.4 332.2 1 PCAB 31.28 28.83 31.61 29.85
808 608149.3 484384.4 332.7 1 PCAB 33.73 31.36 35.11 32.18
815 608144.4 484384.3 332.7 1 PCAB 31.48 29.37 31.66 30.37
822 608146.2 484380.1 331.9 1 PCAB 39.42 32.93 40.56 34.87
829 608152.5 484380.1 332.2 1 PCAB 45.31 33.03 47.58 34.72
838 608157.8 484377 331.7 1 PCAB 37.27 34.9 40.45 37.03
841 608161 484377.5 331.6 1 PCAB 33.73 32.23 35.71 33.83
844 608164.1 484376.8 331.5 1 PCAB 37.95 30.48 39.2 31.75
846 608167 484375.8 331.2 1 PCAB 34.13 28.7 35.61 30.07
851 608172.5 484374.1 330.9 1 PCAB 36.87 32.29 37.28 33.48
852 608173.3 484372.1 330.7 1 PCAB 35.99 32.36 37.78 32.54
854 608176.6 484373.2 330.9 1 PCAB 25.89 27.7 26.11 28.5
857 608179.2 484370.4 330.5 1 PCAB 35.7 32.82 38.38 33.52
866 608189.2 484367.7 329.7 1 PCAB 30.3 27.5 30.63 28.56
868 608192.2 484366.6 329.7 1 PCAB 44.62 31.51 45.89 33.12
874 608198.5 484366.5 329.5 1 PCAB 25.4 25.56 26.9 27.26
877 608194.6 484364.5 329.2 1 PCAB 28.64 29.17 30.27 31.06
883 608181.6 484368.3 330.1 1 PCAB 25.2 29.61 25.28 30.8
887 608170.1 484371.5 330.6 1 PCAB 33.05 29.64 33.57 30.74
902 608200.8 484368.9 329.8 1 PCAB 25.3 24.74 26.08 26.07
